technique_id,is_subtechnique,parent_id,name,tactics,tactic_ids,platforms,data_components,detection_guidance,mitigations,url,description
T1070.004,Yes,T1070,File Deletion,Stealth,TA0005,ESXi; Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1070/004,"Adversaries may delete files left behind by the actions of their intrusion activity. Malware, tools, or other non-native files dropped or created on a system by an adversary (ex: [Ingress Tool Transfer](https://attack.mitre.org/techniques/T1105)) may leave traces to indicate to what was done within a network and how. Removal of these files can occur during an intrusion, or as part of a post-intrusion process to minimize the adversary's footprint."
T1070.005,Yes,T1070,Network Share Connection Removal,Stealth,TA0005,Windows,,,,https://attack.mitre.org/techniques/T1070/005,Adversaries may remove share connections that are no longer useful in order to clean up traces of their operation. Windows shared drive and [SMB/Windows Admin Shares](https://attack.mitre.org/techniques/T1021/002) connections can be removed when no longer needed. [Net](https://attack.mitre.org/software/S0039) is an example utility that can be used to remove network share connections with the <code>net use \\system\share /delete</code> command. (Citation: Technet Net Use)
T1070.006,Yes,T1070,Timestomp,Stealth,TA0005,ESXi; Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1070/006,"Adversaries may modify file time attributes to hide new files or changes to existing files. Timestomping is a technique that modifies the timestamps of a file (the modify, access, create, and change times), often to mimic files that are in the same folder and blend malicious files with legitimate files."
T1070.007,Yes,T1070,Clear Network Connection History and Configurations,Stealth,TA0005,Linux; macOS; Windows; Network Devices,,,M1024 Restrict Registry Permissions | M1029 Remote Data Storage,https://attack.mitre.org/techniques/T1070/007,"Adversaries may clear or remove evidence of malicious network connections in order to clean up traces of their operations. Configuration settings as well as various artifacts that highlight connection history may be created on a system and/or in application logs from behaviors that require network connections, such as [Remote Services](https://attack.mitre.org/techniques/T1021) or [External Remote Services](https://attack.mitre.org/techniques/T1133). Defenders may use these artifacts to monitor or otherwise analyze network connections created by adversaries."
T1070.008,Yes,T1070,Clear Mailbox Data,Stealth,TA0005,Linux; macOS; Office Suite; Windows,,,M1022 Restrict File and Directory Permissions | M1029 Remote Data Storage | M1047 Audit,https://attack.mitre.org/techniques/T1070/008,"Adversaries may modify mail and mail application data to remove evidence of their activity. Email applications allow users and other programs to export and delete mailbox data via command line tools or use of APIs. Mail application data can be emails, email metadata, or logs generated by the application or operating system, such as export requests. "
T1070.009,Yes,T1070,Clear Persistence,Stealth,TA0005,ESXi; Linux; macOS; Windows,,,M1022 Restrict File and Directory Permissions | M1029 Remote Data Storage,https://attack.mitre.org/techniques/T1070/009,"Adversaries may clear artifacts associated with previously established persistence on a host system to remove evidence of their activity. This may involve various actions, such as removing services, deleting executables, [Modify Registry](https://attack.mitre.org/techniques/T1112), [Plist File Modification](https://attack.mitre.org/techniques/T1647), or other methods of cleanup to prevent defenders from collecting evidence of their persistent presence.(Citation: Cylance Dust Storm) Adversaries may also delete accounts previously created to maintain persistence (i.e. [Create Account](https://at"
T1070.010,Yes,T1070,Relocate Malware,Stealth,TA0005,Linux; macOS; Network Devices; Windows,,,,https://attack.mitre.org/techniques/T1070/010,"Once a payload is delivered, adversaries may reproduce copies of the same malware on the victim system to remove evidence of their presence and/or avoid defenses. Copying malware payloads to new locations may also be combined with [File Deletion](https://attack.mitre.org/techniques/T1070/004) to cleanup older artifacts."
T1071,No,,Application Layer Protocol,Command and Control,TA0011,Linux; macOS; Windows; Network Devices; ESXi,,,M1031 Network Intrusion Prevention | M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1071,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server. "
T1071.001,Yes,T1071,Web Protocols,Command and Control,TA0011,ESXi; Linux; macOS; Network Devices; Windows,,,M1031 Network Intrusion Prevention | M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1071/001,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server. "
T1071.002,Yes,T1071,File Transfer Protocols,Command and Control,TA0011,ESXi; Linux; macOS; Network Devices; Windows,,,M1031 Network Intrusion Prevention | M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1071/002,"Adversaries may communicate using application layer protocols associated with transferring files to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server. "
T1071.003,Yes,T1071,Mail Protocols,Command and Control,TA0011,Linux; macOS; Network Devices; Windows,,,M1031 Network Intrusion Prevention | M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1071/003,"Adversaries may communicate using application layer protocols associated with electronic mail delivery to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server. "
T1071.004,Yes,T1071,DNS,Command and Control,TA0011,ESXi; Linux; macOS; Network Devices; Windows,,,M1031 Network Intrusion Prevention | M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1071/004,"Adversaries may communicate using the Domain Name System (DNS) application layer protocol to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server. "
T1071.005,Yes,T1071,Publish/Subscribe Protocols,Command and Control,TA0011,macOS; Linux; Windows; Network Devices,,,M1031 Network Intrusion Prevention | M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1071/005,"Adversaries may communicate using publish/subscribe (pub/sub) application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server. "
T1072,No,,Software Deployment Tools,Execution; Lateral Movement,TA0002; TA0008,Linux; macOS; Network Devices; SaaS; Windows,,,M1015 Active Directory Configuration | M1017 User Training | M1018 User Account Management | M1026 Privileged Account Management | M1027 Password Policies | M1029 Remote Data Storage | M1030 Network Segmentation | M1032 Multi-factor Authentication | M1033 Limit Software Installation | M1051 Update Software,https://attack.mitre.org/techniques/T1072,"Adversaries may gain access to and use centralized software suites installed within an enterprise to execute commands and move laterally through the network. Configuration management and software deployment applications may be used in an enterprise network or cloud environment for routine administration purposes. These systems may also be integrated into CI/CD pipelines. Examples of such solutions include: SCCM, HBSS, Altiris, AWS Systems Manager, Microsoft Intune, Azure Arc, and GCP Deployment Manager.  "
T1074,No,,Data Staged,Collection,TA0009,ESXi; IaaS; Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1074,"Adversaries may stage collected data in a central location or directory prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as [Archive Collected Data](https://attack.mitre.org/techniques/T1560). Interactive command shells may be used, and common functionality within [cmd](https://attack.mitre.org/software/S0106) and bash may be used to copy data into a staging location.(Citation: PWC Cloud Hopper April 2017)"
T1074.001,Yes,T1074,Local Data Staging,Collection,TA0009,ESXi; Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1074/001,"Adversaries may stage collected data in a central location or directory on the local system prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as [Archive Collected Data](https://attack.mitre.org/techniques/T1560). Interactive command shells may be used, and common functionality within [cmd](https://attack.mitre.org/software/S0106) and bash may be used to copy data into a staging location."
T1074.002,Yes,T1074,Remote Data Staging,Collection,TA0009,ESXi; IaaS; Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1074/002,"Adversaries may stage data collected from multiple systems in a central location or directory on one system prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as [Archive Collected Data](https://attack.mitre.org/techniques/T1560). Interactive command shells may be used, and common functionality within [cmd](https://attack.mitre.org/software/S0106) and bash may be used to copy data into a staging location."
T1078,No,,Valid Accounts,Stealth; Persistence; Privilege Escalation; Initial Access,TA0005; TA0003; TA0004; TA0001,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,,,M1013 Application Developer Guidance | M1015 Active Directory Configuration | M1017 User Training | M1018 User Account Management | M1026 Privileged Account Management | M1027 Password Policies | M1032 Multi-factor Authentication | M1036 Account Use Policies,https://attack.mitre.org/techniques/T1078,"Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Compromised credentials may be used to bypass access controls placed on various resources on systems within the network and may even be used for persistent access to remote systems and externally available services, such as VPNs, Outlook Web Access, network devices, and remote desktop.(Citation: volexity_0day_sophos_FW) Compromised credentials may also grant an adversary increased privilege to specific systems or access to restricted are"
T1078.001,Yes,T1078,Default Accounts,Stealth; Persistence; Privilege Escalation; Initial Access,TA0005; TA0003; TA0004; TA0001,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,,,M1027 Password Policies | M1032 Multi-factor Authentication,https://attack.mitre.org/techniques/T1078/001,"Adversaries may obtain and abuse credentials of a default account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Default accounts are those that are built-into an OS, such as the Guest or Administrator accounts on Windows systems. Default accounts also include default factory/provider set accounts on other types of systems, software, or devices, including the root user account in AWS, the root user account in ESXi, and the default service account in Kubernetes.(Citation: Microsoft Local Accounts Feb 2019)(Citation: AWS Root User)(Citation: Threat M"
T1078.002,Yes,T1078,Domain Accounts,Stealth; Persistence; Privilege Escalation; Initial Access,TA0005; TA0003; TA0004; TA0001,ESXi; Linux; macOS; Windows,,,M1017 User Training | M1018 User Account Management | M1026 Privileged Account Management | M1027 Password Policies | M1032 Multi-factor Authentication,https://attack.mitre.org/techniques/T1078/002,"Adversaries may obtain and abuse credentials of a domain account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion.(Citation: TechNet Credential Theft) Domain accounts are those managed by Active Directory Domain Services where access and permissions are configured across systems and services that are part of that domain. Domain accounts can cover users, administrators, and services.(Citation: Microsoft AD Accounts)"
T1078.003,Yes,T1078,Local Accounts,Stealth; Persistence; Privilege Escalation; Initial Access,TA0005; TA0003; TA0004; TA0001,Containers; ESXi; Linux; macOS; Network Devices; Windows,,,M1018 User Account Management | M1026 Privileged Account Management | M1027 Password Policies | M1032 Multi-factor Authentication,https://attack.mitre.org/techniques/T1078/003,"Adversaries may obtain and abuse credentials of a local account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Local accounts are those configured by an organization for use by users, remote support, services, or for administration on a single system or service."
T1078.004,Yes,T1078,Cloud Accounts,Stealth; Persistence; Privilege Escalation; Initial Access,TA0005; TA0003; TA0004; TA0001,IaaS; Identity Provider; Office Suite; SaaS,,,M1015 Active Directory Configuration | M1017 User Training | M1018 User Account Management | M1026 Privileged Account Management | M1027 Password Policies | M1032 Multi-factor Authentication | M1036 Account Use Policies,https://attack.mitre.org/techniques/T1078/004,"Valid accounts in cloud environments may allow adversaries to perform actions to achieve Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Cloud accounts are those created and configured by an organization for use by users, remote support, services, or for administration of resources within a cloud service provider or SaaS application. Cloud Accounts can exist solely in the cloud; alternatively, they may be hybrid-joined between on-premises systems and the cloud through syncing or federation with other identity sources such as Windows Active Directory.(Citation: AWS Identi"
T1080,No,,Taint Shared Content,Lateral Movement,TA0008,Windows; SaaS; Linux; macOS; Office Suite,,,M1022 Restrict File and Directory Permissions | M1038 Execution Prevention | M1049 Antivirus/Antimalware | M1050 Exploit Protection,https://attack.mitre.org/techniques/T1080,
T1082,No,,System Information Discovery,Discovery,TA0007,ESXi; IaaS; Linux; macOS; Network Devices; Windows,,,,https://attack.mitre.org/techniques/T1082,"An adversary may attempt to get detailed information about the operating system and hardware, including version, patches, hotfixes, service packs, and architecture. Adversaries may use this information to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions. This behavior is distinct from [Local Storage Discovery](https://attack.mitre.org/techniques/T1680) which is an adversary's discovery of local drive, disks and/or volumes."
T1083,No,,File and Directory Discovery,Discovery,TA0007,ESXi; Linux; macOS; Network Devices; Windows,,,,https://attack.mitre.org/techniques/T1083,"Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system. Adversaries may use the information from [File and Directory Discovery](https://attack.mitre.org/techniques/T1083) during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions."
T1087,No,,Account Discovery,Discovery,TA0007,ESXi; IaaS; Identity Provider; Linux; macOS; Office Suite; SaaS; Windows,,,M1018 User Account Management | M1028 Operating System Configuration,https://attack.mitre.org/techniques/T1087,"Adversaries may attempt to get a listing of valid accounts, usernames, or email addresses on a system or within a compromised environment. This information can help adversaries determine which accounts exist, which can aid in follow-on behavior such as brute-forcing, spear-phishing attacks, or account takeovers (e.g., [Valid Accounts](https://attack.mitre.org/techniques/T1078))."
T1087.001,Yes,T1087,Local Account,Discovery,TA0007,ESXi; Linux; macOS; Windows,,,M1028 Operating System Configuration,https://attack.mitre.org/techniques/T1087/001,Adversaries may attempt to get a listing of local system accounts. This information can help adversaries determine which local accounts exist on a system to aid in follow-on behavior.
T1087.002,Yes,T1087,Domain Account,Discovery,TA0007,Linux; macOS; Windows,,,M1028 Operating System Configuration,https://attack.mitre.org/techniques/T1087/002,Adversaries may attempt to get a listing of domain accounts. This information can help adversaries determine which domain accounts exist to aid in follow-on behavior such as targeting specific accounts which possess particular privileges.
T1087.003,Yes,T1087,Email Account,Discovery,TA0007,Windows; Office Suite,,,,https://attack.mitre.org/techniques/T1087/003,Adversaries may attempt to get a listing of email addresses and accounts. Adversaries may try to dump Exchange address lists such as global address lists (GALs).(Citation: Microsoft Exchange Address Lists)
T1087.004,Yes,T1087,Cloud Account,Discovery,TA0007,IaaS; Identity Provider; Office Suite; SaaS,,,M1018 User Account Management | M1047 Audit,https://attack.mitre.org/techniques/T1087/004,"Adversaries may attempt to get a listing of cloud accounts. Cloud accounts are those created and configured by an organization for use by users, remote support, services, or for administration of resources within a cloud service provider or SaaS application."
T1090,No,,Proxy,Command and Control,TA0011,ESXi; Linux; macOS; Network Devices; Windows,,,M1020 SSL/TLS Inspection | M1031 Network Intrusion Prevention | M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1090,"Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure. Many tools exist that enable traffic redirection through proxies or port redirection, including [HTRAN](https://attack.mitre.org/software/S0040), ZXProxy, and ZXPortMap. (Citation: Trend Micro APT Attack Tools) Adversaries use these types of proxies to manage command and control communications, reduce the number of simultaneous outbound network connections, provide resiliency in"
T1090.001,Yes,T1090,Internal Proxy,Command and Control,TA0011,ESXi; Linux; macOS; Network Devices; Windows,,,M1031 Network Intrusion Prevention,https://attack.mitre.org/techniques/T1090/001,"Adversaries may use an internal proxy to direct command and control traffic between two or more systems in a compromised environment. Many tools exist that enable traffic redirection through proxies or port redirection, including [HTRAN](https://attack.mitre.org/software/S0040), ZXProxy, and ZXPortMap. (Citation: Trend Micro APT Attack Tools) Adversaries use internal proxies to manage command and control communications inside a compromised environment, to reduce the number of simultaneous outbound network connections, to provide resiliency in the face of connection loss, or to ride over existi"
T1090.002,Yes,T1090,External Proxy,Command and Control,TA0011,ESXi; Linux; macOS; Network Devices; Windows,,,M1031 Network Intrusion Prevention,https://attack.mitre.org/techniques/T1090/002,"Adversaries may use an external proxy to act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure. Many tools exist that enable traffic redirection through proxies or port redirection, including [HTRAN](https://attack.mitre.org/software/S0040), ZXProxy, and ZXPortMap. (Citation: Trend Micro APT Attack Tools) Adversaries use these types of proxies to manage command and control communications, to provide resiliency in the face of connection loss, or to ride over existing trusted communications paths to avoid suspicion."
T1090.003,Yes,T1090,Multi-hop Proxy,Command and Control,TA0011,ESXi; Linux; macOS; Network Devices; Windows,,,M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1090/003,"Adversaries may chain together multiple proxies to disguise the source of malicious traffic. Typically, a defender will be able to identify the last proxy traffic traversed before it enters their network; the defender may or may not be able to identify any previous proxies before the last-hop proxy. This technique makes identifying the original source of the malicious traffic even more difficult by requiring the defender to trace malicious traffic through several proxies to identify its source."
T1090.004,Yes,T1090,Domain Fronting,Command and Control,TA0011,Linux; macOS; Windows; ESXi,,,M1020 SSL/TLS Inspection,https://attack.mitre.org/techniques/T1090/004,"Adversaries may take advantage of routing schemes in Content Delivery Networks (CDNs) and other services which host multiple domains to obfuscate the intended destination of HTTPS traffic or traffic tunneled through HTTPS. (Citation: Fifield Blocking Resistent Communication through domain fronting 2015) Domain fronting involves using different domain names in the SNI field of the TLS header and the Host field of the HTTP header. If both domains are served from the same CDN, then the CDN may route to the address specified in the HTTP header after unwrapping the TLS header. A variation of the th"
T1091,No,,Replication Through Removable Media,Lateral Movement; Initial Access,TA0008; TA0001,Windows,,,M1034 Limit Hardware Installation | M1040 Behavior Prevention on Endpoint | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1091,"Adversaries may move onto systems, possibly those on disconnected or air-gapped networks, by copying malware to removable media and taking advantage of Autorun features when the media is inserted into a system and executes. In the case of Lateral Movement, this may occur through modification of executable files stored on removable media or by copying malware and renaming it to look like a legitimate file to trick users into executing it on a separate system. In the case of Initial Access, this may occur through manual manipulation of the media, modification of systems used to initially format "
T1092,No,,Communication Through Removable Media,Command and Control,TA0011,Linux; macOS; Windows,,,M1028 Operating System Configuration | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1092,"Adversaries can perform command and control between compromised hosts on potentially disconnected networks using removable media to transfer commands from system to system.(Citation: ESET Sednit USBStealer 2014) Both systems would need to be compromised, with the likelihood that an Internet-connected system was compromised first and the second through lateral movement by [Replication Through Removable Media](https://attack.mitre.org/techniques/T1091). Commands and files would be relayed from the disconnected system to the Internet-connected system to which the adversary has direct access."
T1095,No,,Non-Application Layer Protocol,Command and Control,TA0011,ESXi; Linux; macOS; Network Devices; Windows,,,M1030 Network Segmentation | M1031 Network Intrusion Prevention | M1037 Filter Network Traffic | M1047 Audit,https://attack.mitre.org/techniques/T1095,"Adversaries may use an OSI non-application layer protocol for communication between host and C2 server or among infected hosts within a network. The list of possible protocols is extensive.(Citation: Wikipedia OSI) Specific examples include use of network layer protocols, such as the Internet Control Message Protocol (ICMP), transport layer protocols, such as the User Datagram Protocol (UDP), session layer protocols, such as Socket Secure (SOCKS), as well as redirected/tunneled protocols, such as Serial over LAN (SOL)."
T1098,No,,Account Manipulation,Persistence; Privilege Escalation,TA0003; TA0004,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,,,M1018 User Account Management | M1022 Restrict File and Directory Permissions | M1026 Privileged Account Management | M1028 Operating System Configuration | M1030 Network Segmentation | M1032 Multi-factor Authentication | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1098,"Adversaries may manipulate accounts to maintain and/or elevate access to victim systems. Account manipulation may consist of any action that preserves or modifies adversary access to a compromised account, such as modifying credentials or permission groups.(Citation: FireEye SMOKEDHAM June 2021) These actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials. "
T1098.001,Yes,T1098,Additional Cloud Credentials,Persistence; Privilege Escalation,TA0003; TA0004,IaaS; Identity Provider; SaaS,,,M1018 User Account Management | M1026 Privileged Account Management | M1030 Network Segmentation | M1032 Multi-factor Authentication | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1098/001,Adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment.
T1098.002,Yes,T1098,Additional Email Delegate Permissions,Persistence; Privilege Escalation,TA0003; TA0004,Windows; Office Suite,,,M1026 Privileged Account Management | M1032 Multi-factor Authentication | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1098/002,Adversaries may grant additional permission levels to maintain persistent access to an adversary-controlled email account. 
T1098.003,Yes,T1098,Additional Cloud Roles,Persistence; Privilege Escalation,TA0003; TA0004,IaaS; Identity Provider; Office Suite; SaaS,,,M1018 User Account Management | M1026 Privileged Account Management | M1032 Multi-factor Authentication,https://attack.mitre.org/techniques/T1098/003,"An adversary may add additional roles or permissions to an adversary-controlled cloud account to maintain persistent access to a tenant. For example, adversaries may update IAM policies in cloud-based environments or add a new global administrator in Office 365 environments.(Citation: AWS IAM Policies and Permissions)(Citation: Google Cloud IAM Policies)(Citation: Microsoft Support O365 Add Another Admin, October 2019)(Citation: Microsoft O365 Admin Roles) With sufficient permissions, a compromised account can gain almost unlimited access to data and settings (including the ability to reset th"
T1098.004,Yes,T1098,SSH Authorized Keys,Persistence; Privilege Escalation,TA0003; TA0004,ESXi; IaaS; Linux; macOS; Network Devices,,,M1018 User Account Management | M1022 Restrict File and Directory Permissions | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1098/004,"Adversaries may modify the SSH <code>authorized_keys</code> file to maintain persistence on a victim host. Linux distributions, macOS, and ESXi hypervisors commonly use key-based authentication to secure the authentication process of SSH sessions for remote management. The <code>authorized_keys</code> file in SSH specifies the SSH keys that can be used for logging into the user account for which the file is configured. This file is usually found in the user's home directory under <code>&lt;user-home&gt;/.ssh/authorized_keys</code> (or, on ESXi, `/etc/ssh/keys-<username>/authorized_keys`).(Cita"
T1098.005,Yes,T1098,Device Registration,Persistence; Privilege Escalation,TA0003; TA0004,Windows; Identity Provider,,,M1032 Multi-factor Authentication,https://attack.mitre.org/techniques/T1098/005,"Adversaries may register a device to an adversary-controlled account. Devices may be registered in a multifactor authentication (MFA) system, which handles authentication to the network, or in a device management system, which handles device access and compliance."
T1098.006,Yes,T1098,Additional Container Cluster Roles,Persistence; Privilege Escalation,TA0003; TA0004,Containers,,,M1018 User Account Management | M1032 Multi-factor Authentication,https://attack.mitre.org/techniques/T1098/006,"An adversary may add additional roles or permissions to an adversary-controlled user or service account to maintain persistent access to a container orchestration system. For example, an adversary with sufficient permissions may create a RoleBinding or a ClusterRoleBinding to bind a Role or ClusterRole to a Kubernetes account.(Citation: Kubernetes RBAC)(Citation: Aquasec Kubernetes Attack 2023) Where attribute-based access control (ABAC) is in use, an adversary with sufficient permissions may modify a Kubernetes ABAC policy to give the target account additional permissions.(Citation: Kuberente"
T1098.007,Yes,T1098,Additional Local or Domain Groups,Persistence; Privilege Escalation,TA0003; TA0004,Windows; macOS; Linux,,,,https://attack.mitre.org/techniques/T1098/007,An adversary may add additional local or domain groups to an adversary-controlled account to maintain persistent access to a system or domain.
T1102,No,,Web Service,Command and Control,TA0011,ESXi; Linux; macOS; Windows,,,M1021 Restrict Web-Based Content | M1031 Network Intrusion Prevention,https://attack.mitre.org/techniques/T1102,"Adversaries may use an existing, legitimate external Web service as a means for relaying data to/from a compromised system. Popular websites, cloud services, and social media acting as a mechanism for C2 may give a significant amount of cover due to the likelihood that hosts within a network are already communicating with them prior to a compromise. Using common services, such as those offered by Google, Microsoft, or Twitter, makes it easier for adversaries to hide in expected noise.(Citation: Broadcom BirdyClient Microsoft Graph API 2024) Web service providers commonly use SSL/TLS encryption"
T1102.001,Yes,T1102,Dead Drop Resolver,Command and Control,TA0011,ESXi; Linux; macOS; Windows,,,M1021 Restrict Web-Based Content | M1031 Network Intrusion Prevention,https://attack.mitre.org/techniques/T1102/001,"Adversaries may use an existing, legitimate external Web service to host information that points to additional command and control (C2) infrastructure. Adversaries may post content, known as a dead drop resolver, on Web services with embedded (and often obfuscated/encoded) domains or IP addresses. Once infected, victims will reach out to and be redirected by these resolvers."
T1102.002,Yes,T1102,Bidirectional Communication,Command and Control,TA0011,ESXi; Linux; macOS; Windows,,,M1021 Restrict Web-Based Content | M1031 Network Intrusion Prevention,https://attack.mitre.org/techniques/T1102/002,"Adversaries may use an existing, legitimate external Web service as a means for sending commands to and receiving output from a compromised system over the Web service channel. Compromised systems may leverage popular websites and social media to host command and control (C2) instructions. Those infected systems can then send the output from those commands back over that Web service channel. The return traffic may occur in a variety of ways, depending on the Web service being utilized. For example, the return traffic may take the form of the compromised system posting a comment on a forum, iss"
T1102.003,Yes,T1102,One-Way Communication,Command and Control,TA0011,Linux; macOS; Windows; ESXi,,,M1021 Restrict Web-Based Content | M1031 Network Intrusion Prevention,https://attack.mitre.org/techniques/T1102/003,"Adversaries may use an existing, legitimate external Web service as a means for sending commands to a compromised system without receiving return output over the Web service channel. Compromised systems may leverage popular websites and social media to host command and control (C2) instructions. Those infected systems may opt to send the output from those commands back over a different C2 channel, including to another distinct Web service. Alternatively, compromised systems may return no output at all in cases where adversaries want to send instructions to systems and do not want a response."
T1104,No,,Multi-Stage Channels,Command and Control,TA0011,Linux; macOS; Windows; ESXi,,,M1031 Network Intrusion Prevention,https://attack.mitre.org/techniques/T1104,Adversaries may create multiple stages for command and control that are employed under different conditions or for certain functions. Use of multiple stages may obfuscate the command and control channel to make detection more difficult.
T1105,No,,Ingress Tool Transfer,Command and Control,TA0011,ESXi; Linux; macOS; Network Devices; Windows,,,M1031 Network Intrusion Prevention | M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1105,"Adversaries may transfer tools or other files from an external system into a compromised environment. Tools or files may be copied from an external adversary-controlled system to the victim network through the command and control channel or through alternate protocols such as [ftp](https://attack.mitre.org/software/S0095). Once present, adversaries may also transfer/spread tools between victim devices within a compromised environment (i.e. [Lateral Tool Transfer](https://attack.mitre.org/techniques/T1570)). "
T1106,No,,Native API,Execution,TA0002,Linux; macOS; Windows,,,M1038 Execution Prevention | M1040 Behavior Prevention on Endpoint,https://attack.mitre.org/techniques/T1106,"Adversaries may interact with the native OS application programming interface (API) to execute behaviors. Native APIs provide a controlled means of calling low-level OS services within the kernel, such as those involving hardware/devices, memory, and processes.(Citation: NT API Windows)(Citation: Linux Kernel API) These native APIs are leveraged by the OS during system boot (when other system components are not yet initialized) as well as carrying out tasks and requests during routine operations."
T1110,No,,Brute Force,Credential Access,TA0006,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,,,M1018 User Account Management | M1027 Password Policies | M1032 Multi-factor Authentication | M1036 Account Use Policies,https://attack.mitre.org/techniques/T1110,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained.(Citation: TrendMicro Pawn Storm Dec 2020) Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism.(Citation: Dragos Crashoverride 2018) Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes."
T1110.001,Yes,T1110,Password Guessing,Credential Access,TA0006,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,,,M1027 Password Policies | M1032 Multi-factor Authentication | M1036 Account Use Policies | M1051 Update Software,https://attack.mitre.org/techniques/T1110/001,"Adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts. Without knowledge of the password for an account, an adversary may opt to systematically guess the password using a repetitive or iterative mechanism. An adversary may guess login credentials without prior knowledge of system or environment passwords during an operation by using a list of common passwords. Password guessing may or may not take into account the target's policies on password complexity or use policies that may lock accounts out after a"
T1110.002,Yes,T1110,Password Cracking,Credential Access,TA0006,Identity Provider; Linux; macOS; Network Devices; Office Suite; Windows,,,M1027 Password Policies | M1032 Multi-factor Authentication,https://attack.mitre.org/techniques/T1110/002,"Adversaries may use password cracking to attempt to recover usable credentials, such as plaintext passwords, when credential material such as password hashes are obtained. [OS Credential Dumping](https://attack.mitre.org/techniques/T1003) can be used to obtain password hashes, this may only get an adversary so far when [Pass the Hash](https://attack.mitre.org/techniques/T1550/002) is not an option. Further,  adversaries may leverage [Data from Configuration Repository](https://attack.mitre.org/techniques/T1602) in order to obtain hashed credentials for network devices.(Citation: US-CERT-TA18-1"
